Date,ID,Username,Tweets
11/28/2021 4:03,1.46481E+18,Deddy,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'"
11/28/2021 4:00,1.46481E+18,CNN Indonesia,"b'Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia mener\xe2\x80\xa6 https://t.co/MikbeaG4TD'"
11/28/2021 3:30,1.4648E+18,Ummi Ghofaza,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/28/2021 3:30,1.4648E+18,Ummi Ghofaza,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/28/2021 3:30,1.4648E+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
11/28/2021 3:29,1.4648E+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/28/2021 3:29,1.4648E+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/28/2021 3:29,1.4648E+18,Ummi Ghofaza,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/28/2021 3:22,1.4648E+18,Arief Setiawan II,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/28/2021 3:08,1.46479E+18,Musa Ibrahim Araya,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/28/2021 3:00,1.46479E+18,Umi Septa,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nhttps://t.co/OgEYJX0cRG https://t.co/YcPmj64r1C'"
11/28/2021 2:45,1.46479E+18,SachielH_Pang,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/28/2021 2:45,1.46479E+18,SachielH_Pang,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/28/2021 2:28,1.46478E+18,🇮🇩Charlotte__LOVE🇮🇩,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/28/2021 2:28,1.46478E+18,🇮🇩Charlotte__LOVE🇮🇩,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/27/2021 22:20,1.46472E+18,Jihan satuakun,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 21:11,1.4647E+18,Riyanti Waznah,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n Apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/RtAHY1CpjK'"
11/27/2021 21:04,1.4647E+18,Erwind Budiman,b'RT @NadinHang: Menurut Mendikbud Ristek Nadiem Makarim\nsejumlah pihak masih salah mengartikan isi dari peraturan terkait pencegahan dan pen\xe2\x80\xa6'
11/27/2021 17:21,1.46465E+18,LIFE is TEST,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/27/2021 16:03,1.46463E+18,Relaksasi Terupdate,"b'RT @detikcom: Demonstrasi mahasiswa di Medan terkait Permendikbud PPKS menjadi sorotan. Pasalnya dalam unjuk rasa itu, mahasiswa menyebut P\xe2\x80\xa6'"
11/27/2021 15:49,1.46462E+18,🄰🄱🄳🅄🄻,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/27/2021 15:26,1.46462E+18,Sakinah Mustanir,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/27/2021 15:22,1.46462E+18,MuthiahHaniif_Reborn,b'Aneh... apa yg salah dg khilafah? Jika memang itu memiliki seperangkat aturan komprehensif untuk menjaga kemuliaan\xe2\x80\xa6 https://t.co/vY2GGhFa2h'
11/27/2021 15:04,1.46461E+18,Mel,b'E a menina no tiktok q tem 2 ppks ?! \xf0\x9f\x90\xb8\xf0\x9f\x90\xb8'
11/27/2021 14:54,1.46461E+18,Wakhidatul Awwala R.,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n.\n\nhttps://t.co/LRcJqK4yTD https://t.co/UsFft22hGo'"
11/27/2021 14:31,1.4646E+18,Ina,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 14:09,1.4646E+18,Nurani Racing Team,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/27/2021 13:57,1.46459E+18,Imah81,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 13:57,1.46459E+18,Imah81,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/27/2021 13:57,1.46459E+18,Imah81,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
11/27/2021 13:57,1.46459E+18,Imah81,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/27/2021 13:57,1.46459E+18,Imah81,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/27/2021 13:56,1.46459E+18,Imah81,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/27/2021 13:36,1.46459E+18,金財・父・光之,"b'RT @arusbaik_id: Yes! Permendikbud Ristek PPKS, Panen Dukungan Dari Semua Kalangan \n#ArusBaik \n#kekerasanseksual \n#pemerintah \nhttps://t.co\xe2\x80\xa6'"
11/27/2021 13:34,1.46459E+18,Just Normal Human,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/27/2021 13:33,1.46459E+18,Tsabitailma,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 13:33,1.46459E+18,Tsabitailma,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/27/2021 13:32,1.46459E+18,Tsabitailma,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
11/27/2021 13:32,1.46459E+18,Tsabitailma,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/27/2021 13:32,1.46459E+18,Tsabitailma,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/27/2021 13:32,1.46459E+18,Tsabitailma,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/27/2021 13:23,1.46459E+18,Syaiful,b'*[Diskusi Publik] PERMENDIKBUDRISTEK NO. 30 TAHUN 2021 : LEGALKAN SEKS BEBAS?*\n\nDengan alasan mencegah kekerasan se\xe2\x80\xa6 https://t.co/iOJbyEnvEP'
11/27/2021 12:51,1.46458E+18,Bunda Sri,"b'RT @TintaSiyasiID: Permendikbud Ristek PPKS, Advokat: Bukan Harapan Tetapi Ancaman\n\nhttps://t.co/PUgSwckIi2'"
11/27/2021 12:47,1.46458E+18,HopeHelps UNNES,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6'
11/27/2021 12:27,1.46457E+18,Just_for_NKRI,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/27/2021 12:08,1.46457E+18,Eva Arlini,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC https://t.co/pV1MlSHVPo lewat @YouTube'"
11/27/2021 12:06,1.46457E+18,Diana lestari,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nhttps://t.co/hsulR67fsL\n\nJangan lupa shar\xe2\x80\xa6 https://t.co/u3dXa7UvjZ'"
11/27/2021 11:54,1.46456E+18,erin azzahroh,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 11:53,1.46456E+18,ᴸnutriboost,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6'
11/27/2021 11:53,1.46456E+18,erin azzahroh,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/27/2021 11:53,1.46456E+18,erin azzahroh,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
