,Date,ID,Username,Tweets,Text Tweet
17,11/28/2021 8:16,1.46487e+18,Ndi,"b'@Itachi87645291 @idextratime Wkwk ngaco RUU PKS aja gak disah sahin, permendikbu PPKS aja di goreng abis abisan sama bapack bapack'","['wkwk', 'ngaco', 'ruu', 'pks', 'gak', 'sah', 'sahin', 'permendikbu', 'ppks', 'goreng', 'abis', 'bapack', 'bapack']"
18,11/28/2021 6:51,1.46485e+18,Hafied Syaelendra,"b'RT @catchmeupid: Setelah menuai pro dan kontra, Permendikbud PPKS udah resmi berlaku nih gengs. \n\nMakin ke sini, ternyata makin banyak korb\xe2\x80\xa6'","['tuai', 'pro', 'kontra', 'permendikbud', 'ppks', 'resmi', 'laku', 'gengs', 'n', 'nmakin', 'korb', 'xe2', 'x80', 'xa6']"
19,11/28/2021 6:30,1.46484e+18,Bali Women Crisis Centre (BWCC),b'Mendukung Permendikbud Ristek 30/2021 tentang PPKS di lingkungan perguruan tinggi. Permen ini menjadi langkah awal\xe2\x80\xa6 https://t.co/os9TG4bL12',"['dukung', 'permendikbud', 'ristek', '30', '2021', 'ppks', 'lingkung', 'guru', 'permen', 'langkah', 'xe2', 'x80', 'xa6']"
20,11/28/2021 5:04,1.46482e+18,Romadhon Jasn,"b'RT @YogaAdrianyoga6: HTI dibubarkan, tapi underbow nya dibiarkan https://t.co/tB6TSkhmqD'","['hti', 'bubar', 'underbow', 'biar']"
21,11/28/2021 4:55,1.46482e+18,Kembang Kertas,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
22,11/28/2021 4:42,1.46482e+18,Ta,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
23,11/28/2021 4:40,1.46482e+18,🙏Saudia__pangria222🙏,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
24,11/28/2021 4:40,1.46482e+18,🙏Saudia__pangria222🙏,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","['jahat', 'kelamin', 'tolak', 'permendikbudristek', 'ppks', 'dukung', 'khilafah', 'n', 'ngema', 'bebas', 'sayap', 'hizbut', 'tahri', 'xe2', 'x80', 'xa6']"
25,11/28/2021 4:36,1.46482e+18,Mey Siregar,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
26,11/28/2021 4:32,1.46481e+18,Yolan,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
27,11/28/2021 4:16,1.46481e+18,tricky-san,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
28,11/28/2021 4:03,1.46481e+18,Deddy,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'terbit', 'xe2', 'x80', 'xa6']"
29,11/28/2021 4:00,1.46481e+18,CNN Indonesia,"b'Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia mener\xe2\x80\xa6 https://t.co/MikbeaG4TD'","['permendikbud', 'ppks', 'tuai', 'kecam', 'anggap', 'legal', 'zina', 'nadiem', 'ter', 'xe2', 'x80', 'xa6']"
30,11/28/2021 3:30,1.4648e+18,Ummi Ghofaza,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6',"['islam', 'sanksi', 'jera', 'langgar', 'atur', 'atur', 'tetap', 'xe2', 'x80', 'xa6']"
31,11/28/2021 3:30,1.4648e+18,Ummi Ghofaza,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6',"['nampak', 'permen', 'ppks', 'sisa', 'pr', 'tangan', 'seks', 'bebas', 'lingkung', 'pergur', 'xe2', 'x80', 'xa6']"
32,11/28/2021 3:30,1.4648e+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'","['kontra', 'lincolin', 'arsyad', 'diktilitbang', 'pimpin', 'pusat', 'muhammadiyah', 'dapat', 'permen', 'p', 'xe2', 'x80', 'xa6']"
33,11/28/2021 3:29,1.4648e+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'","['alhasil', 'kalang', 'dukung', 'permen', 'ppks', 'anggap', 'permen', 'terobos', 'perspektif', 'xe2', 'x80', 'xa6']"
34,11/28/2021 3:29,1.4648e+18,Ummi Ghofaza,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'","['mendikbudristek', 'nadiem', 'makarim', 'permen', 'ppks', 'xe2', 'x80', 'x9chanya', 'xe2', 'x80', 'x9d', 'atur', 'keras', 'seksual', 't', 'xe2', 'x80', 'xa6']"
35,11/28/2021 3:29,1.4648e+18,Ummi Ghofaza,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6',"['kritik', 'permendikbudristek', 'nomor', '30', '2021', 'cegah', 'tangan', 'keras', 'xe2', 'x80', 'xa6']"
36,11/28/2021 3:22,1.4648e+18,Arief Setiawan II,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","['jahat', 'kelamin', 'tolak', 'permendikbudristek', 'ppks', 'dukung', 'khilafah', 'n', 'ngema', 'bebas', 'sayap', 'hizbut', 'tahri', 'xe2', 'x80', 'xa6']"
37,11/28/2021 3:08,1.46479e+18,Musa Ibrahim Araya,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
